bodega,demanda_promedio,demanda_min,demanda_max,feb_2025,mar_2025_pred,cambio_abs,cambio_pct
BDG-19GNI,69.5,54.0,81.0,81.0,69.65943,-11.340568542480469,-14.000701904296875
BDG-1EEXV,0.0,0.0,0.0,0.0,2.5045423e-05,2.5045423171832226e-05,inf
BDG-1GFVI,0.0,0.0,0.0,0.0,0.00021322496,0.0002132249646820128,inf
BDG-1R0Z2,9.833333333333334,0.0,59.0,59.0,-0.2914431,-59.29144310951233,-100.4939713720548
BDG-20UVR,16.5,13.0,20.0,17.0,16.160286,-0.8397140502929688,-4.939494413488052
BDG-24Q8N,193.66666666666666,103.0,314.0,300.0,181.0207,-118.97929382324219,-39.65976460774739
BDG-2KQN5,4.5,0.0,10.0,9.0,0.80918026,-8.19081974029541,-91.00910822550455
BDG-2RRFU,56.166666666666664,29.0,75.0,29.0,50.34465,21.344650268554688,73.60224230536099
BDG-2Y9W9,383.8333333333333,194.0,518.0,194.0,426.0955,232.09548950195312,119.63685025873872
BDG-3NM8Y,22.0,0.0,132.0,132.0,-3.350007,-135.35000705718994,-102.53788413423482
BDG-3QI70,16.333333333333332,2.0,46.0,15.0,8.832727,-6.167272567749023,-41.115150451660156
BDG-3V4LT,0.0,0.0,0.0,0.0,0.0005193724,0.0005193724064156413,inf
BDG-3WNGG,3.0,0.0,9.0,9.0,-0.60879564,-9.608795642852783,-106.76439603169759
BDG-43ZU5,22.666666666666668,15.0,35.0,20.0,20.641956,0.6419563293457031,3.2097816467285156
BDG-46UXE,10.0,0.0,22.0,0.0,9.133373,9.133373260498047,inf
BDG-48TAP,32.666666666666664,0.0,100.0,0.0,64.52929,64.52928924560547,inf
BDG-4QZTN,23.833333333333332,0.0,78.0,0.0,1.9733416,1.9733415842056274,inf
BDG-4WWK2,1.3333333333333333,0.0,3.0,3.0,1.3486668,-1.651333212852478,-55.04444042841593
BDG-54UWU,6.0,0.0,36.0,36.0,0.41758403,-35.5824159681797,-98.84004435605473
BDG-5MDWK,18.833333333333332,10.0,27.0,19.0,16.692005,-2.307994842529297,-12.147341276469984
BDG-5Y9N3,7.833333333333333,5.0,15.0,5.0,7.592127,2.5921268463134766,51.84253692626953
BDG-66SKL,0.0,0.0,0.0,0.0,0.003066907,0.003066906938329339,inf
BDG-7SJH5,267.1666666666667,59.0,555.0,338.0,148.39378,-189.60621643066406,-56.096513736882855
BDG-BS84U,37.5,33.0,45.0,35.0,36.67498,1.6749801635742188,4.785657610212054
BDG-P0FGZ,275.8333333333333,159.0,382.0,336.0,275.20792,-60.792083740234375,-18.092882065545947
BDG-TP8M9,0.3333333333333333,0.0,2.0,2.0,0.058310095,-1.9416899047791958,-97.08449523895979
BDG-W61BM,2.3333333333333335,0.0,8.0,0.0,0.49769232,0.4976923167705536,inf
BDG-WR6VI,0.0,0.0,0.0,0.0,0.0065209423,0.006520942319184542,inf
